run_id	batch_idx	role	status	gpu_id	runtime_sec	metric_value	started_at_utc	finished_at_utc	sam_model_level_inst	sam_points_per_side	sam_points_per_batch	sam_crop_n_layers	sam_pred_iou_thresh	sam_stability_score_thresh	result_json	stdout_log	stderr_log	comment
1	0	baseline	ok	1	145.7389544080943	0.285105140178381	2026-04-12T02:22:01.462107+00:00	2026-04-12T02:24:27.201831+00:00	24	20	64	0	0.88	0.92	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/results/run001.json	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run001.stdout.log	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run001.stderr.log	baseline current defaults
5	1	search	ok	5	139.0640052901581	0.23551914254724998	2026-04-12T02:24:28.540687+00:00	2026-04-12T02:26:47.605458+00:00	22	20	64	0	0.88	0.92	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/results/run005.json	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run005.stdout.log	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run005.stderr.log	adaptive batch 1
8	1	search	ok	8	157.65968087874353	0.26998049940618774	2026-04-12T02:24:28.548082+00:00	2026-04-12T02:27:06.210099+00:00	23	20	64	0	0.88	0.92	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/results/run008.json	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run008.stdout.log	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run008.stderr.log	adaptive batch 1
2	1	search	ok	1	331.0532037592493	0.29416207728389626	2026-04-12T02:24:28.533707+00:00	2026-04-12T02:29:59.587744+00:00	13	20	64	0	0.88	0.92	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/results/run002.json	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run002.stdout.log	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run002.stderr.log	adaptive batch 1
6	1	search	ok	6	367.479239651002	0.2615488780905284	2026-04-12T02:24:28.541871+00:00	2026-04-12T02:30:36.023892+00:00	22	20	64	1	0.88	0.92	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/results/run006.json	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run006.stdout.log	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run006.stderr.log	adaptive batch 1
9	1	search	ok	9	421.6950736339204	0.2841416529067889	2026-04-12T02:24:28.552250+00:00	2026-04-12T02:31:30.247957+00:00	23	20	64	1	0.88	0.92	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/results/run009.json	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run009.stdout.log	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run009.stderr.log	adaptive batch 1
3	1	search	ok	3	844.875962279737	0.3170018123564464	2026-04-12T02:24:28.534799+00:00	2026-04-12T02:38:33.411631+00:00	13	20	64	1	0.88	0.92	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/results/run003.json	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run003.stdout.log	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run003.stderr.log	adaptive batch 1
7	1	search	ok	7	1195.8061272799969	0.2566740516417231	2026-04-12T02:24:28.544863+00:00	2026-04-12T02:44:24.353295+00:00	22	20	64	2	0.88	0.92	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/results/run007.json	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run007.stdout.log	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run007.stderr.log	adaptive batch 1
15	1	search	ok	7	54.45296484604478	0.20995186068840382	2026-04-12T02:50:56.809155+00:00	2026-04-12T02:51:51.264486+00:00	23	8	32	0	0.92	0.95	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/results/run015.json	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run015.stdout.log	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run015.stderr.log	adaptive batch 1
11	1	search	ok	3	56.69633703585714	0.22077821999318809	2026-04-12T02:50:56.798487+00:00	2026-04-12T02:51:53.495659+00:00	23	8	256	0	0.84	0.95	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/results/run011.json	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run011.stdout.log	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run011.stderr.log	adaptive batch 1
12	1	search	ok	4	60.400051264092326	0.22526969238552025	2026-04-12T02:50:56.799818+00:00	2026-04-12T02:51:57.200757+00:00	23	8	256	0	0.92	0.9	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/results/run012.json	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run012.stdout.log	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run012.stderr.log	adaptive batch 1
10	1	search	ok	1	70.00056719919667	0.23552035728465276	2026-04-12T02:50:56.797083+00:00	2026-04-12T02:52:06.798784+00:00	23	8	32	0	0.84	0.9	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/results/run010.json	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run010.stdout.log	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run010.stderr.log	adaptive batch 1
14	1	search	ok	6	135.067166688852	0.24901825062050995	2026-04-12T02:50:56.807735+00:00	2026-04-12T02:53:11.876084+00:00	13	8	256	0	0.92	0.95	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/results/run014.json	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run014.stdout.log	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run014.stderr.log	adaptive batch 1
16	1	search	ok	8	141.96277704136446	0.25038696567064345	2026-04-12T02:50:56.812143+00:00	2026-04-12T02:53:18.777220+00:00	13	8	32	0	0.84	0.95	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/results/run016.json	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run016.stdout.log	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run016.stderr.log	adaptive batch 1
17	1	search	ok	9	145.40118103427812	0.2532585369784189	2026-04-12T02:50:56.816834+00:00	2026-04-12T02:53:22.218735+00:00	13	8	32	0	0.92	0.9	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/results/run017.json	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run017.stdout.log	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run017.stderr.log	adaptive batch 1
